Input1,Input2,Input3,Output
-49.01990199019902,-20.0,-9.705970597059705,0.006391036352961096
-48.999899989999,-20.0,-9.6999699969997,0.006427999384524349
-48.97989798979898,-20.0,-9.693969396939695,0.006465165266191124
-48.95989598959896,-20.0,-9.687968796879687,0.006502535044806196
-48.93989398939894,-20.0,-9.681968196819682,0.006540109772229227
-48.919891989198916,-20.0,-9.675967596759676,0.006577890505356626
-48.8998899889989,-20.0,-9.66996699669967,0.006615878306143429
-48.87988798879888,-20.0,-9.663966396639664,0.006654074241625453
-48.85988598859886,-20.0,-9.657965796579658,0.006692479383941249
-48.83988398839884,-20.0,-9.651965196519653,0.006731094810354394
-48.81988198819882,-20.0,-9.645964596459645,0.0067699216032756976
-48.7998799879988,-20.0,-9.63996399639964,0.006808960850285636
-48.77987798779878,-20.0,-9.633963396339634,0.006848213644156748
-48.75987598759876,-20.0,-9.627962796279627,0.006887681082876181
-48.73987398739874,-20.0,-9.621962196219622,0.0069273642696682895
-48.71987198719872,-20.0,-9.615961596159616,0.006967264313017328
-48.6998699869987,-20.0,-9.609960996099609,0.007007382326690331
-48.67986798679868,-20.0,-9.603960396039604,0.007047719429759866
-48.65986598659866,-20.0,-9.597959795979598,0.0070882767466270615
-48.63986398639864,-20.0,-9.591959195919593,0.007129055407044666
-48.61986198619862,-20.0,-9.585958595859585,0.0071700565461401
-48.5998599859986,-20.0,-9.57995799579958,0.007211281304438792
-48.57985798579858,-20.0,-9.573957395739574,0.00725273082788742
-48.55985598559856,-20.0,-9.567956795679567,0.007294406267877348
-48.53985398539854,-20.0,-9.561956195619562,0.007336308781268052
-48.51985198519852,-20.0,-9.555955595559556,0.007378439530410796
-48.4998499849985,-20.0,-9.54995499549955,0.007420799683172182
-48.47984798479848,-20.0,-9.543954395439544,0.007463390412958013
-48.45984598459846,-20.0,-9.537953795379538,0.007506212898737065
-48.439843984398436,-20.0,-9.531953195319533,0.007549268325065063
-48.41984198419842,-20.0,-9.525952595259525,0.007592557882108646
-48.3998399839984,-20.0,-9.51995199519952,0.007636082765669556
-48.37983798379838,-20.0,-9.513951395139514,0.007679844177208824
-48.35983598359836,-20.0,-9.507950795079507,0.007723843323870983
-48.33983398339834,-20.0,-9.501950195019502,0.00776808141850857
-48.31983198319832,-20.0,-9.495949594959496,0.007812559679706557
-48.2998299829983,-20.0,-9.489948994899489,0.007857279331806891
-48.27982798279828,-20.0,-9.483948394839484,0.007902241604933148
-48.25982598259826,-20.0,-9.477947794779478,0.007947447735015455
-48.23982398239824,-20.0,-9.471947194719473,0.007992898963815036
-48.21982198219822,-20.0,-9.465946594659465,0.008038596538949484
-48.1998199819982,-20.0,-9.45994599459946,0.008084541713917417
-48.17981798179818,-20.0,-9.453945394539454,0.008130735748124016
-48.15981598159816,-20.0,-9.447944794479447,0.00817717990690592
-48.13981398139814,-20.0,-9.441944194419442,0.008223875461556705
-48.11981198119812,-20.0,-9.435943594359436,0.008270823689352192
-48.0998099809981,-20.0,-9.42994299429943,0.008318025873576048
-48.07980798079808,-20.0,-9.423942394239424,0.008365483303545333
-48.05980598059806,-20.0,-9.417941794179418,0.008413197274636157
-48.03980398039804,-20.0,-9.411941194119413,0.008461169088309486
-48.01980198019802,-20.0,-9.405940594059405,0.008509400052137135
-47.999799979998,-20.0,-9.3999399939994,0.008557891479827495
-47.97979797979798,-20.0,-9.393939393939394,0.008606644691251907
-47.959795979597956,-20.0,-9.387938793879387,0.008655661012470589
-47.93979397939794,-20.0,-9.381938193819382,0.008704941775758987
-47.91979197919792,-20.0,-9.375937593759376,0.008754488319634256
-47.8997899789979,-20.0,-9.369936993699369,0.008804301988881479
-47.87978797879788,-20.0,-9.363936393639364,0.00885438413458044
-47.85978597859786,-20.0,-9.357935793579358,0.008904736114132143
-47.83978397839784,-20.0,-9.351935193519353,0.008955359291285676
-47.81978197819782,-20.0,-9.345934593459345,0.009006255036164947
-47.7997799779978,-20.0,-9.33993399339934,0.009057424725295726
-47.77977797779778,-20.0,-9.333933393339334,0.009108869741632712
-47.75977597759776,-20.0,-9.327932793279327,0.009160591474586534
-47.73977397739774,-20.0,-9.321932193219322,0.009212591320051183
-47.71977197719772,-20.0,-9.315931593159316,0.009264870680431225
-47.6997699769977,-20.0,-9.30993099309931,0.00931743096466932
-47.67976797679768,-20.0,-9.303930393039304,0.009370273588273746
-47.65976597659766,-20.0,-9.297929792979298,0.009423399973346057
-47.63976397639764,-20.0,-9.291929192919293,0.009476811548608846
-47.61976197619762,-20.0,-9.285928592859285,0.009530509749433546
-47.5997599759976,-20.0,-9.27992799279928,0.00958449601786842
-47.57975797579758,-20.0,-9.273927392739274,0.009638771802666658
-47.55975597559756,-20.0,-9.267926792679267,0.009693338559314413
-47.53975397539754,-20.0,-9.261926192619262,0.009748197750059247
-47.51975197519752,-20.0,-9.255925592559256,0.009803350843938255
-47.4997499749975,-20.0,-9.249924992499249,0.009858799316806825
-47.479747974797476,-20.0,-9.243924392439244,0.009914544651366835
-47.45974597459746,-20.0,-9.237923792379238,0.009970588337195645
-47.43974397439744,-20.0,-9.231923192319233,0.010026931870774783
-47.41974197419742,-20.0,-9.225922592259225,0.010083576755518742
-47.3997399739974,-20.0,-9.21992199219922,0.010140524501804056
-47.37973797379738,-20.0,-9.213921392139214,0.010197776626998329
-47.35973597359736,-20.0,-9.207920792079207,0.010255334655489444
-47.33973397339734,-20.0,-9.201920192019202,0.010313200118714934
-47.31973197319732,-20.0,-9.195919591959196,0.010371374555191236
-47.2997299729973,-20.0,-9.18991899189919,0.010429859510543421
-47.27972797279728,-20.0,-9.183918391839184,0.01048865653753454
-47.25972597259726,-20.0,-9.177917791779178,0.010547767196095657
-47.23972397239724,-20.0,-9.171917191719173,0.010607193053355347
-47.21972197219722,-20.0,-9.165916591659165,0.010666935683669897
-47.1997199719972,-20.0,-9.15991599159916,0.01072699666865326
-47.17971797179718,-20.0,-9.153915391539154,0.010787377597207142
-47.15971597159716,-20.0,-9.147914791479147,0.010848080065551408
-47.13971397139714,-20.0,-9.141914191419142,0.010909105677254288
-47.11971197119712,-20.0,-9.135913591359136,0.010970456043263018
-47.0997099709971,-20.0,-9.129912991299129,0.01103213278193429
-47.07970797079708,-20.0,-9.123912391239124,0.011094137519064977
-47.05970597059706,-20.0,-9.117911791179118,0.011156471887923116
-47.03970397039704,-20.0,-9.111911191119113,0.011219137529278427
-47.01970197019702,-20.0,-9.105910591059105,0.011282136091433888
-46.999699969996996,-20.0,-9.0999099909991,0.011345469230256311
-46.97969796979698,-20.0,-9.093909390939094,0.011409138609207968
-46.95969596959696,-20.0,-9.087908790879087,0.01147314589937783
-46.93969396939694,-20.0,-9.081908190819082,0.011537492779512994
-46.91969196919692,-20.0,-9.075907590759076,0.011602180936050326
-46.8996899689969,-20.0,-9.06990699069907,0.011667212063148117
-46.87968796879688,-20.0,-9.063906390639064,0.011732587862717962
-46.85968596859686,-20.0,-9.057905790579058,0.011798310044456563
-46.83968396839684,-20.0,-9.051905190519053,0.0118643803258778
-46.81968196819682,-20.0,-9.045904590459045,0.011930800432345014
-46.7996799679968,-20.0,-9.03990399039904,0.011997572097102983
-46.77967796779678,-20.0,-9.033903390339034,0.012064697061310642
-46.75967596759676,-20.0,-9.027902790279027,0.012132177074073212
-46.73967396739674,-20.0,-9.021902190219022,0.012200013892475015
-46.71967196719672,-20.0,-9.015901590159016,0.012268209281612184
-46.6996699669967,-20.0,-9.00990099009901,0.012336765014625451
-46.67966796679668,-20.0,-9.003900390039004,0.01240568287273306
-46.65966596659666,-20.0,-8.997899789978998,0.01247496464526383
-46.63966396639664,-20.0,-8.991899189918993,0.012544612129690496
-46.61966196619662,-20.0,-8.985898589858985,0.012614627131662769
-46.5996599659966,-20.0,-8.97989798979898,0.01268501146504079
-46.57965796579658,-20.0,-8.973897389738974,0.012755766951928855
-46.55965596559656,-20.0,-8.967896789678967,0.01282689542270878
-46.53965396539654,-20.0,-8.961896189618962,0.01289839871607396
-46.519651965196516,-20.0,-8.955895589558956,0.012970278679062974
-46.4996499649965,-20.0,-8.94989498949895,0.013042537167093693
-46.47964796479648,-20.0,-8.943894389438944,0.0131151760439974
-46.45964596459646,-20.0,-8.937893789378938,0.013188197182053097
-46.43964396439644,-20.0,-8.931893189318933,0.013261602462021694
-46.41964196419642,-20.0,-8.925892589258925,0.013335393773180682
-46.3996399639964,-20.0,-8.91989198919892,0.013409573013358487
-46.37963796379638,-20.0,-8.913891389138914,0.01348414208896938
-46.35963596359636,-20.0,-8.907890789078907,0.013559102915048268
-46.33963396339634,-20.0,-8.901890189018902,0.013634457415285624
-46.31963196319632,-20.0,-8.895889588958896,0.01371020752206247
-46.2996299629963,-20.0,-8.889888988898889,0.013786355176485854
-46.27962796279628,-20.0,-8.883888388838884,0.013862902328423791
-46.25962596259626,-20.0,-8.877887788778878,0.013939850936540935
-46.23962396239624,-20.0,-8.871887188718873,0.01401720296833415
