Input1,Input2,Input3,Input4,Output1,Output2,normalisedKPI_1,normalisedKPI_2,normalised_threshold_1,normalised_threshold_2
-22.357235723572355,-20.0,-1.7071707170717083,-1.7071707170717083,3.1074165450297233,0.15782237571853805,-0.5300280195380644,-0.6089241035822636,1.372534185984296,1.0814299669333853
-22.337233723372336,-20.0,-1.701170117011701,-1.701170117011701,3.118354256495804,0.1585839361938579,-0.5297385644169627,-0.6089079804392369,1.372534185984296,1.0814299669333853
-22.317231723172316,-20.0,-1.6951695169516956,-1.6951695169516956,3.129325177694803,0.15934890217050746,-0.5294482304349316,-0.6088917851976877,1.372534185984296,1.0814299669333853
-22.297229722972297,-20.0,-1.6891689168916901,-1.6891689168916901,3.140329388310086,0.16011728748336593,-0.5291570154832341,-0.6088755175647153,1.372534185984296,1.0814299669333853
-22.277227722772277,-20.0,-1.6831683168316829,-1.6831683168316829,3.151366968136184,0.1608891060166543,-0.5288649174501913,-0.608859177246374,1.372534185984296,1.0814299669333853
-22.257225722572255,-20.0,-1.6771677167716774,-1.6771677167716774,3.1624379970786447,0.16166437170408235,-0.528571934221186,-0.6088427639476707,1.372534185984296,1.0814299669333853
-22.237223722372235,-20.0,-1.671167116711672,-1.671167116711672,3.1735425551538734,0.16244309852898822,-0.5282780636786676,-0.6088262773725612,1.372534185984296,1.0814299669333853
-22.217221722172216,-20.0,-1.6651665166516665,-1.6651665166516665,3.184680722488993,0.1632253005244859,-0.5279833037021555,-0.608809717223948,1.372534185984296,1.0814299669333853
-22.197219721972196,-20.0,-1.6591659165916592,-1.6591659165916592,3.1958525793216777,0.16401099177360853,-0.5276876521682433,-0.6087930832036765,1.372534185984296,1.0814299669333853
-22.177217721772177,-20.0,-1.6531653165316538,-1.6531653165316538,3.207058206000013,0.1648001864094549,-0.5273911069506028,-0.6087763750125321,1.372534185984296,1.0814299669333853
-22.157215721572157,-20.0,-1.6471647164716483,-1.6471647164716483,3.2182976829823233,0.16559289861533244,-0.5270936659199883,-0.6087595923502374,1.372534185984296,1.0814299669333853
-22.137213721372135,-20.0,-1.641164116411641,-1.641164116411641,3.229571090837027,0.16638914262490448,-0.5267953269442408,-0.6087427349154484,1.372534185984296,1.0814299669333853
-22.117211721172115,-20.0,-1.6351635163516356,-1.6351635163516356,3.2408785102424584,0.1671889327223349,-0.5264960878882923,-0.6087258024057527,1.372534185984296,1.0814299669333853
-22.097209720972096,-20.0,-1.6291629162916301,-1.6291629162916301,3.2522200219867274,0.1679922832424346,-0.5261959466141698,-0.6087087945176651,1.372534185984296,1.0814299669333853
-22.077207720772076,-20.0,-1.6231623162316229,-1.6231623162316229,3.263595706967539,0.16879920857080813,-0.5258949009809999,-0.6086917109466253,1.372534185984296,1.0814299669333853
-22.057205720572057,-20.0,-1.6171617161716174,-1.6171617161716174,3.2750056461920445,0.16960972314399977,-0.5255929488450128,-0.6086745513869944,1.372534185984296,1.0814299669333853
-22.037203720372037,-20.0,-1.611161116111612,-1.611161116111612,3.2864499207766595,0.1704238414496398,-0.5252900880595475,-0.6086573155320519,1.372534185984296,1.0814299669333853
-22.017201720172014,-20.0,-1.6051605160516065,-1.6051605160516065,3.297928611946918,0.1712415780265935,-0.5249863164750547,-0.608640003073993,1.372534185984296,1.0814299669333853
-21.997199719971995,-20.0,-1.5991599159915992,-1.5991599159915992,3.309441801037275,0.1720629474651067,-0.5246816319391031,-0.6086226137039243,1.372534185984296,1.0814299669333853
