Input1,Input2,Output
-96.95969596959696,-9.087908790879087,1.532296386051041e-23
-96.93969396939694,-9.081908190819082,1.4550553943192596e-23
-96.91969196919692,-9.075907590759076,1.3815809970698003e-23
-96.8996899689969,-9.06990699069907,1.3116958637333401e-23
-96.87968796879687,-9.063906390639064,1.245230705867946e-23
-96.85968596859686,-9.057905790579058,1.1820239267437987e-23
-96.83968396839684,-9.051905190519053,1.1219212855530355e-23
-96.81968196819682,-9.045904590459045,1.0647755756623628e-23
-96.7996799679968,-9.03990399039904,1.0104463163483277e-23
-96.77967796779679,-9.033903390339034,9.587994574749923e-24
-96.75967596759676,-9.027902790279027,9.097070965960935e-24
-96.73967396739674,-9.021902190219022,8.630472079821444e-24
-96.71967196719672,-9.015901590159016,8.187033830925637e-24
-96.6996699669967,-9.00990099009901,7.765645820314236e-24
-96.67966796679669,-9.003900390039004,7.365248955426788e-24
-96.65966596659666,-8.997899789978998,6.984833171183484e-24
-96.63966396639664,-8.991899189918993,6.62343524808576e-24
-96.61966196619662,-8.985898589858985,6.280136723400002e-24
-96.5996599659966,-8.97989798979898,5.954061891622826e-24
-96.57965796579659,-8.973897389738974,5.64437589058545e-24
-96.55965596559656,-8.967896789678967,5.350282869694197e-24
-96.53965396539654,-8.961896189618962,5.071024236936188e-24
-96.51965196519652,-8.955895589558956,4.805876981415847e-24
-96.4996499649965,-8.94989498949895,4.5541520683118904e-24
-96.47964796479648,-8.943894389438944,4.3151929032670925e-24
-96.45964596459646,-8.937893789378938,4.088373863339538e-24
-96.43964396439644,-8.931893189318933,3.873098891757208e-24
-96.41964196419642,-8.925892589258925,3.6688001538289214e-24
-96.3996399639964,-8.91989198919892,3.474936751465907e-24
-96.37963796379638,-8.913891389138914,3.2909934938700986e-24
-96.35963596359636,-8.907890789078907,3.116479722044466e-24
-96.33963396339634,-8.901890189018902,2.950928184871149e-24
-96.31963196319631,-8.895889588958896,2.7938939645936684e-24
-96.2996299629963,-8.889888988898889,2.6449534496279885e-24
-96.27962796279628,-8.883888388838884,2.5037033527076034e-24
-96.25962596259626,-8.877887788778878,2.369759772448604e-24
-96.23962396239624,-8.871887188718873,2.2427572964995144e-24
-96.21962196219621,-8.865886588658865,2.1223481445120843e-24
-96.1996199619962,-8.85988598859886,2.008201349241999e-24
-96.17961796179618,-8.853885388538854,1.900001974156039e-24
-96.15961596159616,-8.847884788478847,1.7974503659893746e-24
-96.13961396139614,-8.841884188418842,1.7002614407585187e-24
-96.11961196119611,-8.835883588358836,1.6081640017968386e-24
-96.0996099609961,-8.82988298829883,1.5209000884387949e-24
-96.07960796079608,-8.823882388238824,1.4382243540340372e-24
-96.05960596059606,-8.817881788178818,1.3599034720276077e-24
-96.03960396039604,-8.811881188118813,1.2857155688936448e-24
-96.01960196019601,-8.805880588058805,1.2154496827606145e-24
-95.999599959996,-8.7998799879988,1.1489052466139151e-24
-95.97959795979598,-8.793879387938794,1.0858915950070508e-24
-95.95959595959596,-8.787878787878789,1.0262274932577644e-24
-95.93959395939594,-8.781878187818782,9.697406881481338e-25
-95.91959195919591,-8.775877587758776,9.162674791874971e-25
-95.8995899589959,-8.769876987698769,8.656523095370261e-25
-95.87958795879588,-8.763876387638764,8.177473757329866e-25
-95.85958595859586,-8.757875787578758,7.72412255380227e-25
-95.83958395839583,-8.751875187518753,7.295135520243941e-25
-95.81958195819581,-8.745874587458745,6.889245564428297e-25
-95.7995799579958,-8.73987398739874,6.505249236272075e-25
-95.77957795779578,-8.733873387338734,6.14200364761352e-25
-95.75957595759576,-8.727872787278727,5.798423535273359e-25
-95.73957395739573,-8.721872187218722,5.47347846101205e-25
-95.71957195719573,-8.715871587158716,5.166190142266327e-25
-95.6995699569957,-8.70987098709871,4.875629907815333e-25
-95.67956795679568,-8.703870387038704,4.600916272768153e-25
-95.65956595659566,-8.697869786978698,4.341212627512796e-25
-95.63956395639563,-8.691869186918693,4.0957250354901166e-25
-95.61956195619562,-8.685868586858685,3.863700134882735e-25
-95.5995599559956,-8.67986798679868,3.644423139517725e-25
-95.57955795579558,-8.673867386738674,3.4372159344829703e-25
-95.55955595559556,-8.667866786678669,3.2414352621588365e-25
-95.53955395539553,-8.661866186618662,3.0564709945459113e-25
-95.51955195519552,-8.655865586558656,2.881744487953045e-25
-95.4995499549955,-8.649864986498649,2.716707016280031e-25
-95.47954795479548,-8.643864386438644,2.5608382792950713e-25
-95.45954595459546,-8.637863786378638,2.413644982462523e-25
-95.43954395439545,-8.631863186318633,2.274659485030415e-25
-95.41954195419542,-8.625862586258625,2.143438513229425e-25
-95.3995399539954,-8.61986198619862,2.0195619355756802e-25
-95.37953795379538,-8.613861386138614,1.902631597400722e-25
-95.35953595359535,-8.607860786078607,1.7922702118618345e-25
-95.33953395339535,-8.601860186018602,1.68812030480545e-25
-95.31953195319532,-8.595859585958596,1.5898432109741522e-25
-95.2995299529953,-8.58985898589859,1.4971181191600412e-25
-95.27952795279528,-8.583858385838584,1.4096411640135529e-25
-95.25952595259525,-8.577857785778578,1.3271245623199689e-25
-95.23952395239525,-8.571857185718573,1.2492957916533984e-25
-95.21952195219522,-8.565856585658565,1.1758968094126249e-25
-95.1995199519952,-8.55985598559856,1.1066833103328168e-25
-95.17951795179518,-8.553855385538554,1.0414240206529903e-25
-95.15951595159515,-8.547854785478549,9.79900027202037e-26
-95.13951395139514,-8.541854185418542,9.219041397443932e-26
-95.11951195119512,-8.535853585358536,8.672402850023612e-26
-95.0995099509951,-8.529852985298529,8.157229308433257e-26
-95.07950795079508,-8.523852385238524,7.671765391906168e-26
-95.05950595059505,-8.517851785178518,7.214350462810545e-26
-95.03950395039504,-8.511851185118513,6.783413689568158e-26
-95.01950195019502,-8.505850585058505,6.377469357385296e-26
-94.999499949995,-8.4998499849985,5.995112414849627e-26
-94.97949794979498,-8.493849384938494,5.635014244992464e-26
-94.95949594959495,-8.487848784878487,5.295918649949951e-26
-94.93949394939494,-8.481848184818482,4.976638038854465e-26
-94.91949194919492,-8.475847584758476,4.676049809072953e-26
-94.8994899489949,-8.46984698469847,4.3930929113681143e-26
-94.87948794879487,-8.463846384638464,4.126764590000832e-26
-94.85948594859485,-8.457845784578458,3.876117289207987e-26
-94.83948394839484,-8.451845184518453,3.640255717895256e-26
-94.81948194819482,-8.445844584458445,3.418334064767835e-26
-94.7994799479948,-8.43984398439844,3.2095533564857784e-26
-94.77947794779477,-8.433843384338434,3.013158951783508e-26
-94.75947594759477,-8.427842784278429,2.82843816482588e-26
-94.73947394739474,-8.421842184218422,2.6547180113924843e-26
-94.71947194719472,-8.415841584158416,2.4913630717860022e-26
-94.6994699469947,-8.409840984098409,2.3377734646516977e-26
-94.67946794679467,-8.403840384038403,2.193382926173466e-26
-94.65946594659466,-8.397839783978398,2.0576569893743536e-26
-94.63946394639464,-8.391839183918393,1.930091258505345e-26
-94.61946194619462,-8.385838583858385,1.8102097737444253e-26
-94.5994599459946,-8.37983798379838,1.6975634616606228e-26
-94.57945794579457,-8.373837383738374,1.591728667114953e-26
-94.55945594559456,-8.367836783678367,1.4923057624817322e-26
-94.53945394539454,-8.361836183618362,1.3989178302717677e-26
-94.51945194519452,-8.355835583558356,1.3112094154297372e-26
-94.4994499449945,-8.34983498349835,1.22884534376072e-26
-94.47944794479449,-8.343834383438343,1.1515096031126187e-26
-94.45944594459446,-8.337833783378338,1.0789042841070004e-26
-94.43944394439444,-8.331833183318333,1.010748577367774e-26
-94.41944194419442,-8.325832583258325,9.467778243476043e-27
-94.3994399439944,-8.31983198319832,8.86742618994868e-27
-94.37943794379439,-8.313831383138314,8.304079576389071e-27
