Input1,Input2,Input3,Output,normalisedKPI,normalised_threshold
133.64836483648364,60.0,86.91869186918692,-0.1726200797403247,0.9323505758557035,-1.0767049023109352
133.67336733673366,60.0,86.93869386938695,-0.1721985195583342,0.9323846889113592,-1.0767049023109352
133.6983698369837,60.0,86.95869586958696,-0.1717778922354867,0.9324187264791552,-1.0767049023109352
133.7233723372337,60.0,86.978697869787,-0.17135819596582025,0.9324526887052317,-1.0767049023109352
133.74837483748374,60.0,86.998699869987,-0.17093942894621514,0.932486575735499,-1.0767049023109352
133.77337733773376,60.0,87.01870187018702,-0.17052158937639142,0.9325203877156372,-1.0767049023109352
133.7983798379838,60.0,87.03870387038705,-0.17010467545890487,0.9325541247910974,-1.0767049023109352
133.8233823382338,60.0,87.05870587058706,-0.16968868539914628,0.9325877871071012,-1.0767049023109352
133.84838483848384,60.0,87.0787078707871,-0.16927361740533597,0.9326213748086409,-1.0767049023109352
133.87338733873386,60.0,87.09870987098711,-0.1688594696885233,0.9326548880404804,-1.0767049023109352
133.8983898389839,60.0,87.11871187118712,-0.16844624046258216,0.9326883269471544,-1.0767049023109352
133.9233923392339,60.0,87.13871387138715,-0.16803392794420752,0.9327216916729699,-1.0767049023109352
133.94839483948394,60.0,87.15871587158716,-0.1676225303529154,0.9327549823620054,-1.0767049023109352
133.97339733973396,60.0,87.1787178717872,-0.16721204591103644,0.9327881991581115,-1.0767049023109352
133.998399839984,60.0,87.19871987198721,-0.16680247284371627,0.9328213422049111,-1.0767049023109352
134.02340234023401,60.0,87.21872187218722,-0.16639380937890977,0.9328544116457999,-1.0767049023109352
134.04840484048404,60.0,87.23872387238725,-0.16598605374737954,0.9328874076239462,-1.0767049023109352
134.07340734073406,60.0,87.25872587258726,-0.1655792041826939,0.9329203302822915,-1.0767049023109352
134.0984098409841,60.0,87.2787278727873,-0.16517325892122176,0.9329531797635502,-1.0767049023109352
134.12341234123411,60.0,87.29872987298731,-0.1647682162021317,0.9329859562102107,-1.0767049023109352
134.14841484148414,60.0,87.31873187318732,-0.16436407426738792,0.9330186597645352,-1.0767049023109352
134.17341734173417,60.0,87.33873387338735,-0.16396083136174763,0.9330512905685593,-1.0767049023109352
134.1984198419842,60.0,87.35873587358736,-0.16355848573275875,0.933083848764093,-1.0767049023109352
134.22342234223422,60.0,87.3787378737874,-0.1631570356307559,0.9331163344927214,-1.0767049023109352
134.24842484248424,60.0,87.39873987398741,-0.16275647930885848,0.9331487478958032,-1.0767049023109352
134.27342734273427,60.0,87.41874187418742,-0.1623568150229671,0.9331810891144728,-1.0767049023109352
134.2984298429843,60.0,87.43874387438746,-0.16195804103176087,0.9332133582896398,-1.0767049023109352
134.32343234323432,60.0,87.45874587458746,-0.16156015559669484,0.9332455555619887,-1.0767049023109352
134.34843484348434,60.0,87.4787478747875,-0.16116315698199635,0.9332776810719801,-1.0767049023109352
134.37343734373437,60.0,87.49874987498751,-0.16076704345466333,0.9333097349598497,-1.0767049023109352
134.3984398439844,60.0,87.51875187518752,-0.16037181328445993,0.9333417173656104,-1.0767049023109352
134.42344234423442,60.0,87.53875387538756,-0.1599774647439142,0.9333736284290507,-1.0767049023109352
134.44844484448444,60.0,87.55875587558756,-0.15958399610831595,0.9334054682897357,-1.0767049023109352
134.47344734473447,60.0,87.5787578757876,-0.15919140565571244,0.9334372370870075,-1.0767049023109352
134.4984498449845,60.0,87.59875987598761,-0.15879969166690688,0.9334689349599854,-1.0767049023109352
134.52345234523452,60.0,87.61876187618762,-0.15840885242545447,0.9335005620475655,-1.0767049023109352
134.54845484548454,60.0,87.63876387638766,-0.15801888621765933,0.9335321184884218,-1.0767049023109352
134.57345734573457,60.0,87.65876587658767,-0.15762979133257357,0.9335636044210059,-1.0767049023109352
134.5984598459846,60.0,87.67876787678767,-0.15724156606199122,0.9335950199835473,-1.0767049023109352
134.62346234623462,60.0,87.69876987698771,-0.15685420870044792,0.9336263653140541,-1.0767049023109352
134.64846484648464,60.0,87.71877187718772,-0.15646771754521716,0.9336576405503123,-1.0767049023109352
134.67346734673467,60.0,87.73877387738776,-0.15608209089630673,0.9336888458298871,-1.0767049023109352
134.6984698469847,60.0,87.75877587758777,-0.15569732705645684,0.9337199812901223,-1.0767049023109352
134.72347234723472,60.0,87.77877787778777,-0.15531342433113648,0.9337510470681409,-1.0767049023109352
134.74847484748474,60.0,87.79877987798781,-0.15493038102854056,0.9337820433008456,-1.0767049023109352
134.77347734773477,60.0,87.81878187818782,-0.15454819545958795,0.9338129701249183,-1.0767049023109352
134.7984798479848,60.0,87.83878387838786,-0.1541668659379165,0.9338438276768212,-1.0767049023109352
134.82348234823482,60.0,87.85878587858787,-0.15378639077988288,0.9338746160927961,-1.0767049023109352
134.84848484848484,60.0,87.87878787878788,-0.15340676830455693,0.9339053355088658,-1.0767049023109352
134.87348734873487,60.0,87.89878987898791,-0.15302799683372056,0.933935986060833,-1.0767049023109352
134.8984898489849,60.0,87.91879187918792,-0.15265007469186442,0.9339665678842818,-1.0767049023109352
134.92349234923492,60.0,87.93879387938796,-0.15227300020618406,0.9339970811145769,-1.0767049023109352
134.94849484948494,60.0,87.95879587958797,-0.15189677170657895,0.9340275258868648,-1.0767049023109352
134.97349734973497,60.0,87.97879787978798,-0.15152138752564742,0.9340579023360728,-1.0767049023109352
134.998499849985,60.0,87.99879987998801,-0.15114684599868472,0.9340882105969107,-1.0767049023109352
